artist,album,title,text,
Will Wood and the Tapeworms,Everything is a Lot,6up 5oh Cop-Out (Pro/Con),"[Verse 1]
Six-up, five-oh, pigs come, I cop n’ go
The blotter shows they got me on the rocks like Galapagos
Good luck finding critters creepy as me
They shoulda fried me, I’ll give ya PTSD
Vodka shots droppin’ down the throat they been stompin’ on
Cockin’ guns, lockin’ up, the quotas all for shock n’ awe
Drivin’s tirin’, and I been hot-wirin’
To make my get away from the jailbreak riot and

Cellmates scrapin’ upon the bricks in the basement
Tryin’ to escape this probation generation
Too late, crazy fucker’s gotta do the time
Committed to the mental ward, committing all the crimes
I’m alive and kickin’ till the split ends fray
Maybe plead insane, guilty, but I’m not to blame
I’m a slave to the main vein, sprayin’ on the mainframe
Suffering the infrastructure, hoping I can maintain

[Pre-Chorus]
Oh, how I know, how I go, how I go
Ask me a question, the answer I know
Yes or no, options don’t weigh out, and so
I don’t ever see the cons and the pros

[Chorus]
You bear a striking resemblance
(Some kind of semblance of somethin’ I been rememberin’)
You appear familiar, dear
(You look just like my bathroom mirror)
Please, policeman, no heel-to-toe
Oh please, let me go
Please, policeman, is it a test?
I won’t know till I’m under arrest

[Verse 2]
The drunk-tank’s blood red, junkie’s gonna relapse
Some think punk’s dead, me, I don’t believe that
Rock n’ roll gatherin’ the moss till I be that
Lichen-coated boulder, make you slip, bust your kneecap
Open on the Amazon, hide the cure for cancer
I’m Lance Armstrong, you’re the necromancer
Slash n’ burn, crash into the 42nd answer
All my fellow skeletons adore the army ants here

Flies on my eyeballs, scabs on my elbows
Heaven knows God’s sittin’ up there like, “Hell no!”
Only one thing comes to those who wait
It's never too late to embrace your fate

[Pre-Chorus]
May death come swiftly and gently to you
Mayhem, cry mayday, and oncoming doom
Save your convictions, they never will do
What you say’s at least 1/6 billionth true

[Chorus]
You bare a striking resemblance
(Some kind of semblance of somethin’ I been rememberin’)
You appear familiar, dear
(You look just like my bathroom mirror)
Please, policeman, no heel-to-toe
Oh please, let me go
Please, policeman, is it a test?
I won’t know till I’m under arrest

[Bridge]
Am I being detained? (Yes, you are)
Am I under arrest? (Yes, you are)
Read me my rights, please (No)
I want my phone call
Please policeman, no heel-to-toe
Oh please, let me go
Please policeman, is it a test?
I won’t know till I’m ba-ba-ba-ba-ba

[Chorus]
Please, policeman, no heel-to-toe
Oh please, let me go
Please, policeman, is it a test?
I won’t know till I’m under arrest",#REF!
Will Wood and the Tapeworms,Everything is a Lot,"Skeleton Appreciation Day in Vestal, NY (Bones)","[Verse 1]
To cut down on my silhouette
My favorite foods are smoke and hearts
My leftovers fret, forget stiletto self-vendettas
While my cracking backbone lacks but backs up my false starts
All nightmares start as dreams
And I hear my subconscious screaming
They say that beauty’s just skin deep
So naturally, please show me your

[Chorus]
Bones, bones, bones
Let me see your bones
Well, I don’t wanna know if the feeling follows home
Bones, bones, bones
Hell, we’re all alone
If I come home, baby, will you show your bones?
?
[Verse 2]
Lumps in throats and petticoats
Your baby teeth would pray for you
A selfish book is always open
And some of the best liars only want the truth
All love starts as a scheme
So, wake me up, I’m tired of sleeping
They say that beauty’s just skin deep
So obviously, please show me your

[Chorus]
Bones, bones, bones
Let me see your bones
Well, I don’t wanna know if the feeling follows home
Bones, bones, bones
Hell, we’re all alone
If I come home, baby, will you show your bones?

[Bridge]
All nightmares start as dreams
All love starts as a scheme
Give me all your LSD, so I can feel my mind unweave again
They say that beauty’s just skin deep
So, Ana stands and rends the rancid meat from her

[Chorus]
Bones, bones, bones
Let me see your bones
Well, I don’t wanna know if the feeling follows home
Bones, bones, bones
Hell, we’re all alone
If I come home, baby, will you show your
Bones, bones, bones?
I can see my bones
Well, I don’t wanna know if the feeling follows home
Bones, bones, bones
Hell, we’re all alone
If I come home, baby, will you show me your bones?

[Outro]
My bones, your bones
Tell me you can see my bones
My bones, your bones
Tell me you can see them
Ooh, ooh ooh ooh ooh ooh
Ooh ooh ooh ooh
Ooh, ooh ooh ooh ooh ooh
Da-da-da-da-da-da-da da da da da
""A moment on the lips, a lifetime on the hips""
""Your stomach isn't growling, it's applauding""
""Hipbones or pizza?""
""Coffee, smokes, and cold diet Coke""
""Mad as a hatter, thin as a dime""
""Resist or regret?""
""Nothing tastes as good as skinny feels""",
Will Wood and the Tapeworms,Everything is a Lot,Front Street,"[Intro]
""Quick while she turns her back, slip it in""

[Verse 1]
I'm in a meat-pack plant by the gutterside
A slaughterhouse apartment with a slice of lime
I'm cruisin' with the bruisers, boozin', I'll be a suitor, losing my mind
Because there's nothing I'll find
The fetid stench of bad intentions hangs in the sweat
I'm in a sauna hot with trauma, and I'm tryin' to forget
All the masochistic rapture missteps
Imminent pleasure's ready to cut to the bone

[Pre-Chorus]
You said, “Let loose,” but now you're lost
While I tied my boots like a tightrope noose
The problem chased the taste of the cause
While the evidence supports the truth, is 80 enough proof for you?

[Chorus]
Here's to my lady, and I'm coming inside
Drink to me, baby, and what's left of what's right
It's easier to use and lose than never to have used you
On a fucked up Saturday night
Good times on Front Street
On Front Street

[Verse 2]
Loose lips sink ships, but captain, will you go down?
Float your boat 'til overboard and hoping to drown
Tell me what prevented you from coming downtown all alone
Because we know you're not afraid
This chastity is Greek to me, the meat is still fresh
The gnashing teeth will masticate the bones from the flesh
Since nobody will tell me where these bastards go, I'll see for myself
I think they might go to hell

[Pre-Chorus]
You said, “Let loose,” but now you're lost
While I tied my boots like a tightrope noose
The problem chased the taste of the cause
While the evidence supports the truth, is 80 enough proof for you?

[Chorus]
Here's to my lady, and I'm coming inside
Drink to me, baby, and what's left of what's right
It's easier to use and lose than never to have used you
On a fucked up Saturday night
Good times on Front Street
On Front Street, yeah

[Bridge]
(""And they completely goddamn disrespected me! Little idiots! Idiots! I was completely respectful. They're supposed to be my brothers, right? They're my brothers? No, no, that's not fun. What they were doing wasn't fun. They kept zapping us and zapping us. Idiots! Savages! Idiots! Idiots!"")

(""Step right up, folks! Get yourself a big, meaty fill of some of the most noxious, toxic, obnoxious, disgusting shit in the world! How vile can you be?"")

Is 80 enough proof for you?

[Chorus]
Here's to my lady, and I'm coming inside
Drink to me, baby, and what's left of what's right
It's easier to use and lose than never to have used you
On a fucked up Saturday night
Always a good time on Front Street

[Outro]
Last call for morals, better cover your drink
Sodom and Gomorrah'd, let it go down the sink
Last call for morals, better cover your drink
Sodom and Gomorrah'd, let it go down the sink
Last call for morals, better cover your drink
Sodom and Gomorrah'd, let it go down the sink
Last call for morals, better cover your drink
Good times on Front Street",
Will Wood and the Tapeworms,Everything is a Lot,¡Aikido! (Neurotic/Erotic),"[Verse 1]
I apologize for playing with your eyes, but I’m obsessed with you
Rolling out of bed is morning in my head, ‘cause I’m obsessed with you
Rose mirages into vases, I don’t stand a chance
Quiet girls with wrist corsages, cordial silence, I can’t dance

[Verse 2]
Holding breath by graveyards, salt over my shoulder, I’m obsessed with you
Rainbow-walking cave-heart never will be bolder, I’m obsessed with you
Chickenscratch Rembrandts of your likeness, all this nonsense makes me think
My insides cry “try thy finest” - why, then, am I at my brink?

[Bridge]
Hm-hm-hm-hm-hm hm, hm-hm-hm-hm-hm hm, hm hm hm
Hm-hm-hm-hm-hm hm, hm-hm-hm-hm-hm hm, hm hm hm

[Verse 3]
I told Doctor Tillis to prescribe an illness, but he said his schedule's filled with
Children who need Prozac, Prilosec and Lo-jack
Triple-sec and Lexapro for second-guesses, drugs that heal
So we can touch instead of feel

[Verse 4]
Oh, I apologize for playing with your eyes, but I’m obsessed with you
Bite your tongue and smile, stick around a while. I’m obsessed with you
Neurotic erotic, neurotic erotic, neurotic erotic, neurotic erotic
I’m obsessed with you
Hm-hm-hm-hm-hm hm, hm-hm-hm-hm-hm hm, hm hm hm hm",
Will Wood and the Tapeworms,Everything is a Lot,White Knuckle Jerk (Where Do You Get Off?),"[Verse 1]
She’s got the eyes of a snake
Loaded dice raising stakes from a cash cow
I’ll be her burn victim, hypothermic, so damn hot
Come to smiling like I blacked out in Glasgow
I woke up in the name that I wore last night
To the sound of an empty bed
And it’s ringing in my ears just like
Sweet nothings from the voices in my head

[Chorus]
Where do you get off being so goddamn beautiful?
Oh lord, don’t ask me what I mean
Where do you get off being so goddamn beautiful?
Oh lord

[Verse 2]
She’s got the touch of an anesthesiologist
Please put me under
Because I tremble with the notion that there’s something unsaid
But numb my head, I’ll mumble reticently I wonder how I
I woke up in the middle of my surgery
And I watched them botch my heart
Only the second worst thing that I could’ve thought was
“This won’t have to end if it doesn’t start”

[Chorus]
Where do you get off being so goddamn beautiful?
Oh lord, don’t ask me what I mean
Where do you get off being so goddamn beautiful?
Oh lord

[Bridge]
I’ll never know, I’ll never know, I’ll never know
I’ll never know what it’s like, what it’s like to love you
I’ll never know, I’ll never know, I’ll never know
I’ll never know what it’s like, what it’s like to love you

[Chorus]
Where do you get off being so goddamn beautiful?
Oh lord, heart bluer than my balls
Where do you get off being so goddamn beautiful?
Oh lord, just say that it’s on me",
Will Wood and the Tapeworms,Everything is a Lot,(Cover This Song) A Little Bit Mine,"[Verse 1]
Say you’re still her; the woman you were, and you haven’t turned into
Someone who never could love me again
'Cause you never broke my heart, no, you fixed it, now it works
But only enough for just to suffer that hurt, woah oh oh oh

[Pre-Chorus]
What can I say to convince you to slip back into my arms again?
I won’t do you no harm again, lemme tell you that I’m sorry and that

[Chorus]
I’m just a little bit crazy about you
Just a little bit out of my mind
Just a little insane without you
Please come back and be just a little bit mine
Just a little bit mine

[Verse 2]
I never thought, and if I did, I forgot while blacked out in-love
That’s what’s only starting would come to an end
But now I’m hungover and hung out to dry, and I’m giving it time
Does not knowing the truth turn my words into lies?

[Pre-Chorus]
What can I say to convince you or do to make you agree with me?
I don’t need you to be with me, just try to remember what you see in me

[Chorus]
I’m just a little bit crazy about you
Just a little bit out of my mind
Just a little insane without you
Please come back and be just a little bit mine
Just a little bit mine

[Pre-Chorus]
I’ll be here singing til our heartbeats might slip back into that rhythm again
Whether it is or isn’t the end, who cares? God knows that I could use a friend

[Chorus]
I’m just a little bit crazy about you
Just a little bit out of my mind
Just a little insane without you
Please come back and be just a little
I’m just a little bit crazy about you
Just a little bit out of my mind
Just a little insane without you
Please come back and be just a little bit mine
?Just a little bit mine",
Will Wood and the Tapeworms,Everything is a Lot,"Thermodynamic Lawyer, Esq. G.F.D.","[Intro]
""I hold myself in contempt!""

[Verse 1]
Tearing the hair off a black baboon's skull
Is a bitch with some four thousand names
Vomiting lies through a theremin throat
As the businessmen pick at her brains
Pulls back skinny lips to reveal a proboscis
Seems Seth Brundle's at it again
Tears pages from spines as she judges the cover
And shamelessly spoils the end

[Verse 2]
Blood vessels drying and curling inside are
Unfurling from out of her wrists
Well, she wrings out a snake and collects all its poison
Intending on learning to hiss
Foams at the mouth with a head full of acid
And giving some poor illness the blame
Knocking the pieces the fuck off the chessboard
Insisting that she's won the game

[Chorus]
So all that I see absolute entropy
As the chemical bonds fall apart
Well, it seems she broke me
But I swear she could not break my heart
She could not break my heart, oh lord!

[Verse 3]
Makes up excuses for throbbing black bruises
And uses them to her advantage
Never came down from her last trip on Jesus
Disease is her primary language
Garbled and gruesome, her words so absurd
Like I heard a transmission from Apollo 13
No apology, I request misery
So no rest till I've twisted her chest round my knee

[Bridge]
So squeal like a trolley wheel, cry like a baby
With autism strapped to a ceiling fan
Soil your visage with mucus and
Twisting of features unable to stand
Buckle your knees looking up at me
And beg me to spare thee the back of my hand
For the sake of humanity, die of your blight
We're blessed you're barren as Mojave sands

[Chorus]
So all that I see absolute entropy
As the chemical bonds fall apart
Well, it seems she broke me
But I swear she could not break my heart

[Outro]
So all that I see absolute entropy
As the chemical bonds fall apart
Well, it seems she broke me
But I swear she can go fucking die
You can go fucking die (Get cancer)
Go fucking die (Get AIDS and)
Go fucking die (Kill yourself)
Kill yourself and go die
Ugh

""Absolutely reprehensible behavior""",
Will Wood and the Tapeworms,Everything is a Lot,RED MOON,"Red, red moon, keep on rising
The sunset soon indeed will bleed in my horizon
The crescent rests, tethered to the west
Waxing to the rhythm writhing in my chest
That crack between the watercolor sky and sea is the
Corner where you’re born in the mist
I might deride the tide, 'cause I'm pulled as it pools around my feet
Towards your stolen light, while I'm held in your slight gravity

Well, I walk the equator, chasing the light; little do I know it orbits close behind
I might remember or might assume, but I only turn around every once
In a red, red moon
I said I only turn around every once in a red, red, moon

Red, red moon
When will your shadows break?
Tell the truth: what’re you hiding behind that face?
If matter's in then I might space out
Why can’t I take in what you’ve been dishing out?
Why do I reject, while you endlessly reflect?
You’re projecting your perfection astounds
Nighttime, please hide my eyes, so the man up there won’t watch me stare
Teach me to make moonshine, and we’ll get drunk on the spirits of the air

Well, I walk the equator, chasing the light; little do I know it orbits close behind
I might remember or might assume, but I only turn around every once
In a red, red moon
I said I only turn around every once in a red, red, moon

The constellations form infinite paisleys in the sky
The condensation tumbles down and erases all my sight
And is it in the nightmare map of the cosmos up high?
Or is it in the signs? Or stranger still, just in my eyes?

Well, I walk the equator, chasing the light; little do I know it orbits close behind
I might remember or might assume, but I only turn around every once
I said I walk the equator, chasing the light; little do I know it orbits close behind
I might remember or might assume, but I only turn around every once
In a red, red moon
I said I only turn around every once in a red, red moon
I said I only turn around every once in a red, red moon",
Will Wood and the Tapeworms,Everything is a Lot,Lysergide Daydream,"[Verse 1]
Ooh, I wanna be
In the picture on the postcard
Pouring pitchers in the backyard by the garden we tend
Ooh, I wanna be
Where the crickets chirp for me
Frogs that fractal at my feet by the dirt road dead end

Where the matches burn like candles, no locks on the doors
We can blow the seeds of dandelions, wish for nothing more
Where the sunrise comes early, but the night’s still plenty long
And the constellations mirror glistening dewdrops on the lawn
I feel the grass between my toes already

[Chorus 1]
Ooh, I wanna be
In a place I can call
A place to get away from it all

[Verse 2]
Ooh I wanna be
In the autumn pastel landscape
An odd, attractive escape 'bout two miles from downtown
Ooh I wanna be
Where it’s always apple season
Underneath the dancing trees where we know up is down

Where the television’s broken and the campfire’s smoking
And we’re hopeful for tomorrow cause we know we had today
We’re laughing and we’re joking with no criticism spoken
If the clouds come out and drown the town we’ll still go out and play
I feel the hands that I can hold already

[Chorus 1]
Ooh, I wanna be
In a place I can call
A place to get away from it all

[Bridge]
I know the day is far away
And if it comes it will not stay
But I can’t chase the flavor from my mind
Well this is my lysergide daydream
It’s not a plan, not half a scheme
To find a place to bathe my two bare, tired, and worn out feet

[Chorus 2]
No, I don't believe
There's a place I can call
A place to get away from it all
No, I don't believe
There's a place I can call
A place to get away from it",
Will Wood and the Tapeworms,Everything is a Lot,The First Step,"God, grant me the serenity to accept the things I cannot change, the courage to change the things I can, and the wisdom to know the difference

[Verse 1]
You could say I’m plastered, ‘cause I hit the wall
I lost count after 21, in the college crawl
I been a boozin’ bastard, they’re callin’ me Edward Forty-hands, I can’t touch anyone
With an enemy like me, who would need a friend?
Never mind, I’m drunk

[Chorus]
Well we’ve had enough power since the blackout started
For an EKG for the broken hearted
I’d try to see the glass as half full
But I’d probably just a-drink that too!
Glass half full, I'd probably just drink that too!

[Verse 2]
Well, I’m the reason they call it an “Irish Goodbye”
And I hope I don’t choke on my vomit tonight
Well I bet that a bottle of brandy so bitter’d be better than bitin’ the bullet and betterin’ myself, sorry if I slur
Take my anxiety and my sobriety, I’ll kill two birds with one stoner
So if you see me, please take my keys, I don’t wanna be an organ donor

[Chorus]
Well we’ve had enough power since the blackout started
For an EKG for the broken hearted
I’d try to see the glass as half full
But I’d probably just a-drink that too!
Glass half full, I'd probably just a-drink that too!

[Bridge]
I’m going down and I’m taking you with me, yeah
I’m bringing the water to the horse
So bring me the hair of the dog that bit me, yeah
So I can clone it and have a little more, haha

[Chorus]
Well we’ve had enough power since the blackout started
For an EKG for the broken hearted
I’d try to see the glass as half full
Even when I'm empty, half-full
I’d try to see the glass as half full
But I’d probably just, aaaaaaaaaaaaugh! (Glass half full, I'd probably just a-drink that too!)
I'd probably just drink that too

[Outro]
99 bottles of beer on the wall, 99 bottles of beer
You take one down, pass it around
[?] bottles of beer on the wall
[?] bottles of beer on the wall, 98 bottles of beer
You take one down, pass it around
98 bottles of beer on the wall! (W!)",
